Country,TotalCases,NewCases,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,TotalCases/1M pop,Tests/1M pop,Population,Continent
Paraguay,3629,18,1643,1,1957,12,509,14402,7136543,South America
Thailand,3249,3,3096,1,95,1,47,8647,69808827,Asia
Nicaragua,3147,3,2282,1,766,1,475,,6628172,North America
Somalia,3111,3,1452,1,1566,2,196,,15909906,Africa
Equatorial Guinea,3071,3,842,1,2178,2,2186,11391,1404596,Africa
Zambia,2980,3,1462,1,1398,19,162,3765,18403298,Africa
Maldives,2930,3,2354,1,561,12,5416,123127,540953,Asia
Malawi,2810,3,1111,1,1644,4,147,1213,19149092,Africa
Mayotte,2782,3,2591,1,154,3,10188,47606,273076,Africa
Lebanon,2775,3,1485,1,1250,12,407,30410,6823799,Asia
Sri Lanka,2704,3,2023,1,670,1,126,6327,21417712,Asia
Congo,2633,3,626,1,1958,1,477,,5523434,Africa
Mali,2472,3,1809,1,542,1,122,973,20272498,Africa
Cuba,2445,3,2304,1,54,1,216,19750,11326256,North America
South Sudan,2191,3,1175,1,973,1,196,1075,11199761,Africa
Montenegro,2072,3,378,1,1664,7,3299,46033,628070,Europe
Estonia,2021,3,1912,1,40,1,1523,86145,1326581,Europe
Cabo Verde,2014,3,913,1,1080,1,3621,74845,556267,Africa
Slovakia,1979,3,1530,7,421,2,362,43995,5459778,Europe
Guinea-Bissau,1949,3,803,7,1120,5,989,761,1969856,Africa
Slovenia,1940,3,1568,7,261,2,933,58406,2078953,Europe
Iceland,1922,3,1902,7,10,2,5631,327387,341351,Europe
Lithuania,1915,3,1600,7,235,6,704,176462,2720078,Europe
Libya,1791,3,385,7,1358,6,260,5567,6875501,Africa
Hong Kong,1778,3,1274,7,492,13,237,58968,7499888,Asia
Eswatini,1729,3,788,7,920,5,1490,15128,1160725,Africa
Sierra Leone,1701,3,1237,7,399,5,213,,7983732,Africa
Benin,1602,3,782,7,789,1,132,6002,12135436,Africa
Yemen,1581,3,701,7,437,1,53,4,29852717,Asia
